Source (A),Source (B),Source (C),Source (D),Source (E),Source (F),Source (G),Source (H),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,informal,swear,netspeak,assent,nonflu,filler
755,1436258074852044830,73,,"Anonymised account discussing day to day life, #Mentalhealth, #Bipolar, #Anxiety, and #OCD. UK based. 🏳️‍🌈",2021-10-20 08:40:51,"Not sure why, but I woke up on the verge of a panic attack today and the #anxiety has made me feel nauseous. Time to figure out why...
#mentalhealth #bipolar #anxiety #OCD",['anxiety'],32,93.26,5.92,99.00,1.00,10.67,15.62,96.88,15.62,3.12,12.50,9.38,3.12,0.00,0.00,0.00,0.00,0.00,0.00,25.00,6.25,9.38,0.00,0.00,3.12,6.25,6.25,0.00,0.00,6.25,0.00,0.00,6.25,9.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00
756,1436258074852044830,73,,"Anonymised account discussing day to day life, #Mentalhealth, #Bipolar, #Anxiety, and #OCD. UK based. 🏳️‍🌈",2021-10-20 08:36:58,Blood test this morning went smoothly. In and out within 5 minutes. Lithium clinic on Friday to see what my levels are. #mentalhealth #bipolar #anxiety #OCD,,26,93.26,35.01,99.00,1.00,6.50,26.92,88.46,3.85,0.00,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00
757,1016397855865688065,4127,Check out my Website 🌻😊👇🏻,The 💯% honest views of a Guy from the UK 🇬🇧 who ❤️'s @NUFC ⚽️ #نيوكاسل & suffers daily with #Anxiety #Depression #EUPD #OCD & #CPTSD 🥺 I love ❤️ my family x,2021-10-20 08:27:52,"Thank you so much to Above The Borderline who is another New Friend 🤗 on ❤️ Twitter! I hope you enjoy 🌈 my Tweets 😊 ⚽️ x https://t.co/xnmMoQinsS @NUFC #BPD #EUPD #OCD #Anxiety #Depression #MentalHealth #LetsBeatMentalHealthTogether ❤️
#IWillNotLetMyMHKillMe 💚 #Retweet ✅",,37,70.25,94.74,10.62,75.85,18.50,27.03,70.27,13.51,8.11,5.41,2.70,0.00,2.70,16.22,0.00,2.70,0.00,0.00,5.41,0.00,0.00,2.70,5.41,0.00,0.00,13.51,10.81,0.00,2.70,0.00,0.00,0.00,8.11,2.70,8.11,0.00,8.11,0.00,0.00,0.00
758,962946211333509120,3099,"Gurgaon, India",,2021-10-20 08:22:37,"An #online_treatment program for #OCD that takes you through #real evidence-based #treatments from a true #specialist with #OCD and #Anxiety. Most #therapists use talk #therapy. Talking through #OCD isn't helpful. 
https://t.co/N5GoCRRuZk https://t.co/Y4mV2OiNP9","['online_treatment', 'OCD', 'real', 'treatments']",42,96.66,76.25,1.00,70.57,10.50,33.33,69.05,7.14,4.76,2.38,2.38,0.00,0.00,9.52,0.00,0.00,0.00,0.00,14.29,2.38,4.76,0.00,2.38,2.38,2.38,4.76,2.38,0.00,0.00,2.38,0.00,0.00,9.52,0.00,4.76,0.00,4.76,0.00,0.00,0.00
759,1735579123,6685,Texas,I blame it all on Nancy Drew and Laura Ingalls Wilder!  Book reviews and giveaways galore so stop by!,2021-10-20 08:15:02,"#TuesdayBookBlog I’LL PRAY WHEN I’M DYING by Stephen J. Golds (@SteveGone58) The best fictional depiction of OCD I’ve ever read. Hard-hitting, tough, and non-PC. Fabulous #OCD #noir https://t.co/UpRvwSKzLW via @OlgaNM7",['TuesdayBookBlog'],36,62.04,20.24,39.76,98.27,9.00,25.00,63.89,8.33,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.78,0.00,0.00,0.00,0.00,2.78,0.00,2.78,0.00,2.78,2.78,2.78,0.00,0.00,5.56,5.56,2.78,0.00,2.78,0.00,0.00,0.00
760,1044855497428520961,1253,,"Specialist in OCD, anxiety, CBT, teaching, exercise and mental health. UKA licensed Running coach Author of best selling books . Views my own",2021-10-20 08:11:36,Just found this piece on OCD from a few years ago with @DrChrisSteele1 @itvstudios #ocd #mentalhealth #psychiatry        https://t.co/UxS4HN7WJI,"['ocd', 'mentalhealth', 'psychiatry']",22,98.34,50.00,31.94,25.77,22.00,22.73,63.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00
761,1223541624900407296,406,,"A podcast about mental health and different lifestyles. Find us on YouTube, Spotify, Apple, Anchor etc",2021-10-20 07:55:14,"Episode 90 with Fusion teammate Joseph Burke is now available on all good podcast platforms. Do it! Thanks everyone 🙏
Love from D &amp; J ❤️
#theweeklywheatley #podcast #mentalhealth #ocd #anxiety #bjj #athlone #ireland https://t.co/aY17RTpds7",,37,86.66,79.13,1.65,97.99,12.33,35.14,51.35,10.81,8.11,2.70,2.70,0.00,0.00,8.11,0.00,0.00,0.00,0.00,5.41,0.00,0.00,0.00,0.00,5.41,0.00,8.11,5.41,2.70,0.00,2.70,0.00,0.00,10.81,0.00,2.70,0.00,2.70,0.00,0.00,0.00
762,1422973169787363328,16,United Kingdom,"Still the uncontested king of Doggerland, despite all attempts! 

Hungry. 



Rosaceae1837.",2021-10-20 07:51:04,"Ultra cheap China webcam, why did I want one? So I could watch the clouds moving on my computer rather than opening my curtains... Yay #ocd https://t.co/khkNcVOWfQ",,31,45.37,2.69,39.18,83.22,10.33,12.90,74.19,3.23,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.13,0.00,3.23,9.68,0.00,0.00,6.45,3.23,0.00,0.00,3.23,0.00,0.00,3.23,6.45,0.00,6.45,0.00,3.23,3.23,0.00,0.00
763,2237326671,1263,"Milton Keynes, England","Green Cross Training are leading a movement to build a safer society specialising in First Aid, Health and Safety, Mental Health and Fire training.",2021-10-20 07:30:04,"This week is #OCDawarenessweek.

OCD isn’t just about washing hands or tidying up

It is repetitive activities that someone does to reduce the anxiety caused by an obsession

#ocd is life changing disrupting day to day life

Together. Saving lives

#awareness #ocd #gct https://t.co/LawvabOTaJ",['OCDawarenessweek'],48,72.69,41.76,48.89,1.00,16.00,27.08,81.25,4.17,0.00,4.17,4.17,0.00,0.00,4.17,0.00,0.00,0.00,0.00,12.50,2.08,4.17,0.00,4.17,0.00,4.17,6.25,2.08,0.00,4.17,0.00,0.00,0.00,12.50,0.00,2.08,0.00,2.08,0.00,0.00,0.00
764,1375132530748256261,35,Indonesia,"Nikmati saja hidup ini, karena yang demikian dapat menentramkan jiwamu",2021-10-20 07:22:57,"Sharp and accurate hearing

https://t.co/T7Rq3uLqQ3

#insectsoftheworld #OCD #grasshoppers #photography #macrophotography #HiveBlogShare #oc #crypto #hive #posh $Hive #life #nature #activities","['insectsoftheworld', 'OCD', 'grasshoppers', 'photography']",23,88.21,66.81,1.00,25.77,23.00,39.13,39.13,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,0.00,0.00
